id,alt_name,base_name,alt_address,base_address,city,state,alt_category,base_category,alt_confidence,base_confidence,sample_type,label,reason
08f64b505561491603fc6471ee03d4ec,นารานวดแผนไทย,นารานวดแผนไทย (Massage),บ้านคลองศาลา,บ้านคลองศาลา,,,spas,Business and Professional Services > Health and Beauty Service > Spa,0.3941504178272981,1.0,conflict,"",""
08f2f5aa91d808f303baa5e8aa5462ce,デイリーヤマザキ　市川二俣新町店,デイリーヤマザキ 市川二俣新町店,二俣678-67,二俣678-67,Ichikawa-shi,12,convenience_store,Retail > Convenience Store,0.48103896103896104,1.0,conflict,"",""
08f64a4a12905da1035756dc7bcb4757,Dairy Queen,Dairy Queen Thailand,,"ชั้น 3, 199,199/1,199/2 หมู่ 6 ตำบลเสาธงหิน อำเภอบางใหญ่",,,ice_cream_shop,ice_cream_shop,0.48103896103896104,0.6214335421016005,conflict,"",""
2251799818930678,ColourFence Garden Fencing - Isle Of Wight,Colourfence Garden Fencing,"Bridgecourt House, Whitwell Road","Bridgecourt House, Whitwell Road, Godshill",Godshill,Isle Of Wight,fence_and_gate_sales_service,fence_and_gate_sales_service,0.77,0.77,conflict,"",""
08f2a10725b352a903e6847459c20ef9,Hulk Security Systems,"Hulk Security Systems - Intercom, Access Control & Burglary Alarms systems",676 9th Ave,"676A 9th Ave #399",New York,NY,professional_services,Retail > Computers and Electronics Retail > Electronics Store,0.23154848046309695,1.0,conflict,"",""
08f1f2e5048d164e03fd620dbb04a308,Lindell's Car Nissan,Lindells Bil,Fibergatan 3,Fiberg. 3,Billesholm,,automotive_repair,Business and Professional Services > Automotive Service > Automotive Repair Shop,0.9645127118644068,1.0,conflict,"",""
08f1f88b7202396b039421a666dddf20,Klecks Schule der Phantasie,KlecksX,Untermarkt 65,Untermarkt 65,Wolfratshausen,,school,Community and Government > Education,0.9837452982267598,1.0,conflict,"",""
08fa8100ca28064003968b5363ce2e31,Assembleia de Deus - Casa Verde,Assembléia de Deus da Casa Verde,"Rua Valdemar Martins, 557","Rua Valdemar martins, 495",São Paulo,SP,pentecostal_church,Community and Government > Spiritual Center > Church,0.7927927927927928,1.0,conflict,"",""
08f1fa52b061960a03e43f858d980cc0,LUSH Cosmetics Düsseldorf,LUSH,Schadowstr. 65,Schadowstr.,Düsseldorf,North Rhine-Westphalia,florist,Retail > Cosmetics Store,0.77,1.0,conflict,"",""
08f1f18c768d9d6603f4c1aa83c6e520,DEKRA,DEKRA Automobil GmbH Kfz-Prüfstelle Belzig,Forstweg 8A,Forstweg 8A,Bad Belzig,Brandenburg,car_inspector,Business and Professional Services > Legal Service,0.77,1.0,conflict,"",""
