agreement_type,id,alt_primary,base_primary,alt_names_json,base_names_json,alt_address,base_address,city,state,alt_confidence,base_confidence
full_agreement,08f2ab2c4b89449a03e88d9391424fd1,Certa Opportune Inc.,Certa Opportune Inc.,"{""primary"":""Certa Opportune Inc.""}","{""primary"":""Certa Opportune Inc.""}",2556 Central Ave Unit B,"2556 Central Avenue, Unit B",,,0.9696941176470588,0.77
full_agreement,08f2ab2d2c6d119603b5fa4d75021a0a,Boston's Restaurant & Sports Bar,Boston's Restaurant & Sports Bar,"{""primary"":""Boston's Restaurant & Sports Bar""}","{""primary"":""Boston's Restaurant & Sports Bar""}",15133 Hall Rd,15133 Hall Rd,Shelby Twp,MI,0.997898979043525,0.77
full_agreement,08f2ab315180ab0e03d4e77b28c4d097,Shinto Japanese Steakhouse & Sushi Bar,Shinto Japanese Steakhouse & Sushi Bar,"{""primary"":""Shinto Japanese Steakhouse & Sushi Bar""}","{""primary"":""Shinto Japanese Steakhouse & Sushi Bar""}",17070 Pearl Rd,17070 Pearl Rd,Strongsville,OH,0.997898979043525,0.77
full_agreement,08f2ab66e31767a003eb6104f50a0ad0,Strawberry Fields Restaurant,Strawberry Fields Restaurant,"{""primary"":""Strawberry Fields Restaurant""}","{""primary"":""Strawberry Fields Restaurant""}",51070 S Foster Rd,51070 S Foster Rd,New Baltimore,MI,0.9962614185921548,0.77
full_agreement,08f2ad34495a3453030061ea2bb1add4,Prime Storage,Prime Storage,"{""primary"":""Prime Storage""}","{""primary"":""Prime Storage""}",610 Highway 17 N,610 US-17 BUS Business,Surfside Beach,SC,0.77,0.77
full_agreement,08f2ad682055ca30031a560f16b833f7,BP,BP,"{""primary"":""BP""}","{""primary"":""BP""}",11294 Us 70 Business Hwy W,11928 Us Hwy 70 W,Clayton,NC,0.77,0.77
full_agreement,08f2ad6d630edb8603e384186f8f39e4,Elements Massage,Elements Massage,"{""primary"":""Elements Massage""}","{""primary"":""Elements Massage""}",2072 Kildaire Farm Rd,2072 Kildaire Farm Road,Cary,NC,0.9802857142857143,0.77
full_agreement,08f2af02a326225a03148349955d3df1,Publix Super Market at First Flight Square,Publix Super Market at First Flight Square,"{""primary"":""Publix Super Market at First Flight Square""}","{""primary"":""Publix Super Market at First Flight Square""}",1530 N Croatan Hwy,1530 N Croatan Hwy,Kill Devil Hills,NC,0.9962614185921548,0.77
full_agreement,08f2af0cb2296b2b03be615926b180e4,Liberty Tax Service,Liberty Tax Service,"{""primary"":""Liberty Tax Service""}","{""primary"":""Liberty Tax Service""}",1716 Corporate Landing Pkwy,"500 Grapevine Hwy., Ste 402",Virginia Beach,VA,0.77,0.77
full_agreement,08f2af60c44941950327df46b0384e4b,TowneBank Mortgage,TowneBank Mortgage,"{""primary"":""TowneBank Mortgage""}","{""primary"":""TowneBank Mortgage""}",1 Old Oyster Point Rd,1 Old Oyster Point Rd Ste 240,Newport News,VA,0.9962614185921548,0.77
full_agreement,08f2af634e769b080308c0dc69fae58f,Cracker Barrel Old Country Store,Cracker Barrel Old Country Store,"{""primary"":""Cracker Barrel Old Country Store""}","{""primary"":""Cracker Barrel Old Country Store""}",757 Lynnhaven Pkwy,"757 Lynnhaven Pkwy., Lynnhaven Pkwy & International Pkwy",Virginia Beach,VA,0.9962614185921548,0.77
full_agreement,08f2b0078bb7695303dc9d801abe3d1e,Pizza Delight Dieppe,Pizza Delight Dieppe,"{""primary"":""Pizza Delight Dieppe""}","{""primary"":""Pizza Delight Dieppe""}",5070 Principale-Est Ave,"5070 Principale Est Avenue, Unit 12",Dieppe,NB,0.9895134099616858,0.77
full_agreement,08f2b012c990541103acb6bd371d670d,Yuille Auto Works,Yuille Auto Works,"{""primary"":""Yuille Auto Works""}","{""primary"":""Yuille Auto Works""}",311 Prince Albert Rd,311 Prince Albert Road,Halifax,NS,0.997898979043525,0.77
full_agreement,08f2b1a2e66f516303b15b2c89fd7eb5,Golden Nozzle Car Wash,Golden Nozzle Car Wash,"{""primary"":""Golden Nozzle Car Wash""}","{""primary"":""Golden Nozzle Car Wash""}",160 New County Rd,160 New County Rd,Thomaston,ME,0.9962614185921548,0.77
full_agreement,08f2b1a71245004b03fb190dd84b30f8,Vassalboro Car Care,Vassalboro Car Care,"{""primary"":""Vassalboro Car Care""}","{""primary"":""Vassalboro Car Care""}",719 Main St,719 Main St,Vassalboro,ME,0.77,0.77
full_agreement,08f2b812f5c1468c039fede714dbcf8b,Cornwall Storage Box,Cornwall Storage Box,"{""primary"":""Cornwall Storage Box""}","{""primary"":""Cornwall Storage Box""}",127 Augustus St,127 Augustus Street,Cornwall,ON,0.9895134099616858,0.77
full_agreement,08f2b8948382984b0357aa768f759221,Stewart's Shops,Stewart's Shops,"{""primary"":""Stewart's Shops""}","{""primary"":""Stewart's Shops""}",526 Highway Route 20,526 Highway Rte 20,Sharon Springs,NY,0.9962614185921548,0.77
full_agreement,08f2b8c822168ad10329f177952bbbf4,Poirier's True Value,Poirier's True Value,"{""primary"":""Poirier's True Value""}","{""primary"":""Poirier's True Value""}",9592 State Route 9,9592 State Route 9,Chazy,NY,0.77,0.77
full_agreement,08f2b9920635d84a03e9fe2ad85dd221,Bowlers World,Bowlers World,"{""primary"":""Bowlers World""}","{""primary"":""Bowlers World""}",1000 Hylan Dr,1000 Hylan Dr Ste C1,Henrietta,NY,0.9962614185921548,0.77
full_agreement,08f2b993019165420338c973fb83c826,South Beach Tanning Company,South Beach Tanning Company,"{""primary"":""South Beach Tanning Company""}","{""primary"":""South Beach Tanning Company""}",2186 Empire Blvd,2186 Empire Blvd,Webster,NY,0.9962614185921548,0.77
full_agreement,08f2b99319ba884303b7c209761f4881,China Garden Kitchen,China Garden Kitchen,"{""primary"":""China Garden Kitchen""}","{""primary"":""China Garden Kitchen""}",268 Winton Rd N,268 N Winton Rd,Rochester,NY,0.9962614185921548,0.77
full_agreement,08f2b996b5294c400380ad26d3d237e5,UMMC Womens Care Center,UMMC Womens Care Center,"{""primary"":""UMMC Womens Care Center""}","{""primary"":""UMMC Womens Care Center""}",11225 Maple Ridge Rd,11225 Maple Ridge Rd,Medina,NY,0.77,0.77
full_agreement,08f2b9b31c09b0a303141b8c38ce6e33,Canadas Best Value Inn Niagara Falls,Canadas Best Value Inn Niagara Falls,"{""primary"":""Canadas Best Value Inn Niagara Falls""}","{""primary"":""Canadas Best Value Inn Niagara Falls""}",7034 Lundy's Ln,7034 Lundy's Ln,Niagara Falls,ON,0.8806389610389611,0.77
full_agreement,08f2b9b36479862e0351baadfa912c6b,Franco's Pizza,Franco's Pizza,"{""primary"":""Franco's Pizza""}","{""primary"":""Franco's Pizza""}",817 Payne Ave,817 Payne Ave,North Tonawanda,NY,0.9962614185921548,0.77
full_agreement,08f2b9bc02d4692d03ad27a5dff5f47f,Comairco,Comairco,"{""primary"":""Comairco""}","{""primary"":""Comairco""}",110 Norfinch Dr,"110 Norfinch Drive, Unit 10",Toronto,ON,0.9872500778573653,0.77
full_agreement,08f2b9bc2ad9c8a503865f53d38bd727,Digital Marketing Reputation Agency,Digital Marketing Reputation Agency,"{""primary"":""Digital Marketing Reputation Agency""}","{""primary"":""Digital Marketing Reputation Agency""}",477 Wilson Heights Blvd,477 Wilson Heights Blvd,Toronto,ON,0.9803712632594022,0.77
