id,alt_name,base_name,alt_len,base_len,len_diff_base_minus_alt,alt_word_count,base_word_count,word_diff_base_minus_alt,alt_address,base_address,city,state,alt_category,base_category,alt_confidence,base_confidence
08f2aa641dac166c0396504b89284b46,Seneca Nation Indians Library,Seneca Nation Library,29,21,-8,4,3,-1,3 Thomas Indian School Dr,3 Thomas Indian School Dr,Irving,NY,library,Community and Government > Library,0.9645127118644068,1.0
08f4445528791c51030532d8525b37ad,Chevron Rayne,Chevron Station Rayne,13,21,8,2,3,1,1045 Church Point Hwy,1045 Church Point Hwy,Rayne,LA,gas_station,gas_station,0.9962614185921548,0.77
08f489c0a988d91c03d200b109f53df7,Coin Cloud DCM,Coin Cloud Bitcoin ATM,14,22,8,3,4,1,2003 N TX-1604-LOOP E,2003 N Loop 1604 E Ste 111,San Antonio,TX,financial_service,,0.3941504178272981,1.0
08f48eba494e2cd6031f3fc948616b0a,Ombudsman Arizona Charter East II,Ombudsman Charter East II,33,25,-8,5,4,-1,4041 E Thomas Rd,"4041 E. Thomas Rd, Ste. 210",Phoenix,AZ,high_school,Community and Government > Education,0.9962614185921548,1.0
08f1849b1176da690351ac66a3c552f8,Communauté de communes de Lacq Orthez - CCLO,Communauté De Communes De Lacq-orthez,44,37,-7,8,5,-3,Rond-Point des Chênes - BP73,Rond-Point des Chênes,Mourenx,,public_service_and_government,Community and Government,0.48103896103896104,1.0
08f1ea2d93cc3a9e035b43ef4cb52ad1,Centro Nazionale Per Il Volontariato,Centro Nazionale Volontariato,36,29,-7,5,3,-2,"Via Alfredo Catalani, 158",VIA Catalani 158,Lucca,52,community_services_non_profits,Business and Professional Services > Convention Center > Conference Room,0.9467515923566879,1.0
08f1f146cd8f4d8b034df7d18ab5f6fc,Fahrschule Walter Lohmann,Fahrschule Lohmann,25,18,-7,3,2,-1,Zum Esch 25,Zum Esch 25,Emstek,,driving_school,Community and Government > Education > Driving School,0.9645127118644068,1.0
08f1fb14213b534803295839333df491,Amplifon France,Amplifon Sainte Savine,15,22,7,2,3,1,27B Avenue du Général Gallieni,27 bis avenue du Général Galliéni,Sainte-Savine,,health_and_medical,Health and Medicine > Medical Center,0.9467515923566879,1.0
08f2b9da094a66c6032deedf522acb43,Kingston Community Credit Union (KCCU),Kingston Community Credit Uniom,38,31,-7,5,4,-1,1201 Division St,4-34 Benson St,Kingston,ON,credit_union,Business and Professional Services > Financial Service > Banking and Finance > Bank,0.77,1.0
08f489c199a9881a0391dce2dd986d7e,My Econo's 3995 Optical,My Econo Optical,23,16,-7,4,3,-1,5275 Walzem Rd,5275 Walzem Rd,Windcrest,TX,eyewear_and_optician,Retail > Eyecare Store,0.9872500778573653,1.0
08fa8100e16b275b035e3f9f5d9abecc,Galeria Caribé,Galeria Sergio Caribé,14,21,7,2,3,1,"Rua João Lourenço, 79",Rua João Lourenço 79,São Paulo,SP,art_gallery,Arts and Entertainment > Art Gallery,0.7927927927927928,1.0
08f1f840ea021482035b7b83cdf340f6,Ecole Primaire Emile Gebhart,Ecole Primaire Gebhart,28,22,-6,4,3,-1,31 Rue Émile Gebhart,33 rue emile gebhart,Nancy,,elementary_school,Community and Government > Education > College and University > Student Center,0.6214335421016005,1.0
08f1f98405296ad0034910779e4d703c,Marchiodoro,Marchio D'Oro SAS,11,17,6,1,3,2,"Via Brenta, 15",Via Brenta 15,Torino,21,furniture_store,Retail > Furniture and Home Store,0.9544061302681992,1.0
