id,conflict_class,alt_raw,base_raw,alt_digits,base_digits,alt_digit_len,base_digit_len,alt_confidence,base_confidence,confidence_diff,confidence_gap,higher_confidence_side
08f650d7b312494e0379177490e36a63,alt_only,"[""+626180031731""]",,626180031731,"",12,0,0.6214,1.0,-0.3786,0.3786,base
08f8c1079ca48d89034fc39344737333,alt_only,"[""+622131920121""]",,622131920121,"",12,0,0.6214,1.0,-0.3786,0.3786,base
08fa81008ca8987403152403c510cca3,alt_only,"[""+5511932007900""]",,5511932007900,"",13,0,0.6214,1.0,-0.3786,0.3786,base
08fa8100cdaee1ae0395ad79d4166c65,alt_only,"[""+551138751535""]",,551138751535,"",12,0,0.6214,1.0,-0.3786,0.3786,base
08fa82433524dc68030b79a2d60882ac,alt_only,"[""+554935410493""]",,554935410493,"",12,0,0.6214,1.0,-0.3786,0.3786,base
08fa8736dd0650c60325b5a78b6a9297,alt_only,"[""+551132621645""]",,551132621645,"",12,0,0.6214,1.0,-0.3786,0.3786,base
08fa8e2c4402d16003f9f2c48a55d210,alt_only,"[""+553432625242""]",,553432625242,"",12,0,0.6214,1.0,-0.3786,0.3786,base
08fa8f079c5740c003cee9234f02d70e,alt_only,"[""+553438414882""]",,553438414882,"",12,0,0.6214,1.0,-0.3786,0.3786,base
08fa8f56a671d254038c00412af16327,alt_only,"[""+553432290031""]",,553432290031,"",12,0,0.6214,1.0,-0.3786,0.3786,base
08fa90e8d6b065a303084f1af4a32095,alt_only,"[""+555130673966""]",,555130673966,"",12,0,0.6214,1.0,-0.3786,0.3786,base
08fb25919140d504031466d3d5beb5d2,alt_only,"[""+548106661212""]",,548106661212,"",12,0,0.6214,1.0,-0.3786,0.3786,base
08f1f8a24e650258034f1be6a73785ab,alt_only,"[""0463850000""]",,0463850000,"",10,0,0.77,1.0,-0.23,0.23,base
08f1fa52b061960a03e43f858d980cc0,alt_only,"[""021117549420""]",,021117549420,"",12,0,0.77,1.0,-0.23,0.23,base
08f2a1072cd4319403d444f5a7444196,alt_only,"[""6464299048""]",,6464299048,"",10,0,0.77,1.0,-0.23,0.23,base
08f2a120ca2ae36c03063f6dab55a04b,alt_only,"[""4848212921""]",,4848212921,"",10,0,0.77,1.0,-0.23,0.23,base
08f2a16d922a3a1b03f3a923ef742786,alt_only,"[""6077467354""]",,6077467354,"",10,0,0.77,1.0,-0.23,0.23,base
08f2ad02592eac4d036dc2d6a5cac784,alt_only,"[""8887328562""]",,8887328562,"",10,0,0.77,1.0,-0.23,0.23,base
08f2b9da094a66c6032deedf522acb43,alt_only,"[""6135316056""]",,6135316056,"",10,0,0.77,1.0,-0.23,0.23,base
08f2f5a81888b92403495c5ae643abb5,alt_only,"[""05088848748""]",,05088848748,"",11,0,0.77,1.0,-0.23,0.23,base
08f391e668030210035f021852dabca1,alt_only,"[""910600796""]",,910600796,"",9,0,0.77,1.0,-0.23,0.23,base
08f3da115eb8818403b3df5f75387e60,alt_only,"[""09426792001""]",,09426792001,"",11,0,0.77,1.0,-0.23,0.23,base
08fa81820124428303c181c054e5964b,alt_only,"[""08007627777""]",,08007627777,"",11,0,0.77,1.0,-0.23,0.23,base
08fa88cd98806c2503508be454babf9f,alt_only,"[""3131912000""]",,3131912000,"",10,0,0.77,1.0,-0.23,0.23,base
